Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
AI 1.pdf,7.76,28.98,26.616438356164384,378,"fosfor: 9, explainable: 29, business: 20, decision: 19, making: 5, author: 2, shalini: 4, harkar: 2, senior: 3, data: 24...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 1.pdf_repetitive_words_full_list.txt,2.93,0.19
AI 10.pdf,45.25,38.25,24.904761904761905,333,"united: 7, states: 7, geospatial: 7, intelligence: 17, foundation: 6, state: 9, artificial: 9, machine: 8, learning: 9, ai/ml: 56...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 10.pdf_repetitive_words_full_list.txt,3.14,0.17
AI 11.pdf,87.03,33.75,21.78838174273859,1228,"protecting: 2, inventions: 48, relating: 7, artificial: 38, intelligence: 33, best: 6, practices: 7, frank: 3, chau: 7, associates: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 11.pdf_repetitive_words_full_list.txt,2.19,0.29
AI 12.pdf,7.15,28.77,26.22826086956522,281,"artificial: 9, intelligence: 11, machine: 5, learning: 5, industry: 10, insights: 5, abstract: 2, automation: 15, software: 5, what: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 12.pdf_repetitive_words_full_list.txt,3.49,0.37
AI 13.pdf,5.92,20.62,25.0062893081761,597,"www.fda.gov: 20, proposed: 20, regulatory: 9, framework: 21, modifications: 69, artificial: 2, learning: 15, ai/ml: 29, -based: 2, software: 63...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 13.pdf_repetitive_words_full_list.txt,2.17,0.07
AI 14.pdf,7.57,40.08,24.934285714285714,864,"thinking: 32, ahead: 41, innovation: 66, through: 44, artificial: 39, intelligence: 48, section: 26, introduction: 3, executive: 4, summary: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 14.pdf_repetitive_words_full_list.txt,2.89,0.14
AI 15.pdf,88.27,48.23,24.238095238095237,504,"responsible: 13, innovation: 9, what: 27, next: 2, foreword: 2, navigating: 2, grand: 4, experiment: 5, grounding: 2, reality: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 15.pdf_repetitive_words_full_list.txt,2.87,0.19
AI 2.pdf,16.26,39.26,6.738227146814404,434,"2023: 22, machine: 17, learning: 18, research: 20, report: 16, this: 9, year: 8, survey: 11, shows: 2, that: 28...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 2.pdf_repetitive_words_full_list.txt,35.92,0.09
AI 3.pdf,97.33,28.54,17.886934673366834,1244,"artificial: 65, intelligence: 61, cybersecurity: 156, research: 106, enisa: 39, innovation: 11, brief: 3, june: 3, 2023: 5, about: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 3.pdf_repetitive_words_full_list.txt,2.46,0.27
AI 4.pdf,8.54,44.03,40.27430555555556,775,"chapter: 118, preview: 56, artificial: 61, intelligence: 61, index: 149, report: 115, 2023: 109, research: 80, development: 74, overview: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\AI 4.pdf_repetitive_words_full_list.txt,1.91,0.13
